CPE,model,normalized,MAE,RMSE,MAPE,n_test,model_label
PT0002000078233981HJ,MLP,No,0.42512564127475944,0.5751367792535121,16.3843859689724,22,MLP (No)
PT0002000115031201VQ,MLP,No,2.0958722650921717,2.932765544826123,29.43809212949924,33,MLP (No)
PT0002000068859187RL,MLP,No,1.378404067060972,2.021600059274693,13.026850936865975,33,MLP (No)
PT0002000068856906VS,MLP,Yes,1.007293701716177,1.213324169009498,17.078276480794617,29,MLP (Yes)
PT0002000081997398TD,MLP,Yes,2.9157696145654945,4.213811601198374,8.792460193885917,34,MLP (Yes)
PT0002000073231742VK,MLP,Yes,0.48035286714923175,0.6465068544469895,10.324925460699275,31,MLP (Yes)
PT0002000033074862LZ,MLP,Yes,0.9980160877697788,1.4780540468825327,14.723267000734092,33,MLP (Yes)
PT0002000068859393XH,MLP,Yes,3.5976914055393237,4.52042174881428,13.634079472078648,32,MLP (Yes)
PT0002000078233981HJ,MLP,Yes,0.4702231483343185,0.5496904611337929,16.696617346903075,22,MLP (Yes)
PT0002000115031201VQ,MLP,Yes,2.2633810811251536,3.1634102846270187,34.86222207711506,33,MLP (Yes)
PT0002000068859187RL,MLP,Yes,1.2705173748622913,1.8362362526692835,12.288345650366129,33,MLP (Yes)
