Abordagem,Modelo,Normalização,MAE_mean,MAE_std,RMSE_mean,n_CPEs,label
Séries Temporais,Baseline,N/A,1.2245535714285714,1.0283075357794984,2.0028826404834605,10,"Baseline
(Séries Tem)"
Séries Temporais,ARIMA,N/A,0.8042418169481568,0.5571627006006507,1.176221937634486,10,"ARIMA
(Séries Tem)"
Séries Temporais,LSTM,Sim (LSTM),1.0288209648403739,1.0172456325044794,1.3587765725699574,10,"LSTM
(Séries Tem)"
Features Agregadas,MLP,Não,1.5518228970844974,1.155481766451013,2.1434171355072653,8,"MLP
(Features A)"
Features Agregadas,MLP,Sim,1.6254056601327211,1.1655275404098944,2.2026819273477214,8,"MLP
(Features A)"
Features Agregadas,RF,Não,1.629143023601845,1.2175761497323005,2.1682963285799977,8,"RF
(Features A)"
Features Agregadas,RF,Sim,1.6299742583729557,1.2185781320033868,2.16983662579952,8,"RF
(Features A)"
Features Agregadas,XGBoost,Não,1.8581918723383286,1.6661999492485713,2.4194237495009556,8,"XGBoost
(Features A)"
Features Agregadas,XGBoost,Sim,1.8581918723383286,1.6661999492485713,2.4194237495009556,8,"XGBoost
(Features A)"
