CPE,consumo_mean,consumo_std,consumo_min,consumo_max,consumo_median,consumo_q25,consumo_q75,n_registos,consumo_cv,consumo_iqr_norm,consumo_noite,consumo_manhã,consumo_tarde,consumo_h00,consumo_h01,consumo_h02,consumo_h03,consumo_h04,consumo_h05,consumo_h06,consumo_h07,consumo_h08,consumo_h09,consumo_h10,consumo_h11,consumo_h12,consumo_h13,consumo_h14,consumo_h15,consumo_h16,consumo_h17,consumo_h18,consumo_h19,consumo_h20,consumo_h21,consumo_h22,consumo_h23,consumo_seg,consumo_ter,consumo_qua,consumo_qui,consumo_sex,consumo_sab,consumo_dom,consumo_dias_uteis,consumo_fim_semana,racio_weekend_util,hora_pico,valor_pico,hora_vale,valor_vale,racio_pico_vale,consumo_pico_tarde,consumo_noturno,racio_dia_noite,variabilidade_intra_dia_mean,variabilidade_inter_dia,amplitude_diaria_mean
PT0002000032936306KX,2.436972426857504,2.7791258108166357,0.0,30.756,0.0,0.0,5.356,38008,1.140401007491226,2.1978090276986046,4.639025894736842,0.2707483164983165,0.2009431818181818,5.166483544303797,5.1793240506329115,5.185277777777777,5.187030303030302,5.1811161616161625,5.166595959595959,4.263222222222223,1.4932752525252524,0.12728282828282828,0.0,0.003931818181818182,0.0,0.0,0.0,0.004202020202020202,0.0011161616161616161,0.015196969696969698,0.21147474747474748,0.9736691919191919,2.0374747474747474,3.078858585858586,4.844419191919192,5.191618686868686,5.1895858585858585,2.3331034734917733,2.4683341253884117,2.4173708645585816,2.6106034578918016,2.4071825957605055,2.418617532104969,2.40563190633004,2.4469075784901912,2.4120690100562783,0.985762205021487,22.0,5.191618686868686,9.0,0.0,4.5160501259924075,0.038664983164983166,5.177637966159485,0.2058627390621669,2.53369391235532,0.8307116970197851,5.306371859296482
PT0002000032942455NH,0.0908893879842785,0.131154080471549,0.0,2.86,0.06,0.02,0.108,32058,1.4430076313665492,0.9682098422229635,0.09236241108199177,0.08248502994011976,0.09634880239520958,0.09461954887218045,0.07809281437125748,0.06873353293413174,0.06497904191616766,0.06257784431137725,0.06355688622754492,0.06866167664670658,0.08345209580838324,0.08999401197604791,0.06891017964071856,0.06916467065868263,0.08886826347305389,0.09452095808383233,0.10095209580838323,0.09898203592814372,0.09569760479041917,0.09522155688622753,0.10224251497005989,0.08499700598802395,0.08715269461077844,0.08855089820359281,0.1481706586826347,0.15576646706586827,0.12749700598802396,0.1681388888888889,0.11119513783373126,0.0621080963750814,0.09353300841825432,0.07063267568166705,0.06643213897937025,0.06378376031263569,0.10128349455070687,0.0651078058842688,0.6428274041400994,22.0,0.15576646706586827,4.0,0.06257784431137725,2.489163197933113,0.09793612774451098,0.07209327810544325,1.2705232032972957,0.05478838278144005,0.0969649169842913,0.23167761194029848
PT0002000032959511HP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43666,1.0353788070890588,0.9415312805889822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7210261262610154,0.0,0.0,0.0,0.0,4.5160501259924075,0.0,0.0,1.7688416176953337,0.0,0.0,0.0
PT0002000032966446CC,0.09975576522904137,0.10513338481706187,0.0,2.244,0.084,0.028,0.144,35081,1.0539078576127743,1.1628400597565616,0.10349934513979842,0.08460730593607306,0.10739954337899545,0.09855829447035311,0.09322465753424658,0.08998904109589043,0.08827945205479452,0.08332876712328767,0.08085753424657535,0.08214794520547945,0.07912054794520548,0.0788958904109589,0.08412876712328768,0.0920904109589041,0.08712876712328767,0.08627945205479452,0.09162739726027398,0.0956191780821918,0.1070054794520548,0.1103123287671233,0.1111013698630137,0.12873150684931509,0.1246027397260274,0.117413698630137,0.1230958904109589,0.14106301369863014,0.11956986301369864,0.10104086538461539,0.09985654177519536,0.11995910342115611,0.10167881457749299,0.09357964335804447,0.08999719382641812,0.09186264390631203,0.10328618184721003,0.09093447691233669,0.880412803397602,22.0,0.14106301369863014,8.0,0.0788958904109589,1.787964024030281,0.10032420091324201,0.08903962442085794,1.1226050903357485,0.06582433468648795,0.054303734217308164,0.3047213114754099
PT0002000032968749YT,3.639755427315196,4.001176291317321,0.0,31.496,2.036,1.16,4.365,43668,1.0992981180245731,0.8805536701580287,2.0119682975994135,6.436489010989011,4.096807326007326,2.1269359823399556,2.1891740088105727,2.1657076923076923,2.2046945054945053,2.2638813186813187,2.2775626373626374,2.235964835164835,2.611476923076923,6.941881318681319,7.368052747252747,6.999830769230769,7.043876923076923,7.653815384615385,6.770397802197802,4.3295010989010985,3.8208593406593407,3.4999318681318683,3.3677098901098903,2.792443956043956,1.8181406593406595,1.57810989010989,1.6080945054945055,1.6096175824175825,2.0666307692307693,4.251810195575505,4.493414329219426,4.330377945183523,4.467659778952426,4.309742866303302,1.8069398749398748,1.8159685595123516,4.370619226207649,1.8114531312645339,0.41446143841643174,12.0,7.653815384615385,20.0,1.57810989010989,4.849988858559412,4.907035897435897,2.204659357499447,1.9969096266639907,2.6216817363335507,2.214264900463984,10.464228070175439
PT0002000032969229AC,2.06882694518504,2.911949336639898,0.0,21.576,0.496,0.348,2.816,40883,1.4075364512324868,1.192946566045067,0.5305174455590898,4.36445461658842,2.8478622848200317,0.4655339233038348,0.4352470588235294,0.42685211267605633,0.4290492957746479,0.42745774647887325,0.43205633802816906,0.432349765258216,1.3329131455399061,3.9118896713615023,4.609145539906104,5.4040798122065725,5.869882629107981,5.058816901408451,3.4873849765258216,3.439525821596244,3.2875821596244132,2.6867253521126764,2.3810328638497653,1.8049225352112677,0.8824577464788733,0.6667464788732395,0.6114037558685447,0.5925046948356808,0.5639835680751174,2.5857089169798426,2.776584116140051,2.7128397676802187,2.7687981953843486,2.6578216604031435,0.5094741158380318,0.47996991452991455,2.7001396847155585,0.4947257968042382,0.1832222975739695,11.0,5.869882629107981,2.0,0.42685211267605633,13.751560446328895,3.3901780125195624,0.43603274584751844,6.57445736468972,2.0552591475861877,1.3530555937227424,7.139457943925234
PT0002000032976997LZ,3.039358529406454,3.1738261813392534,0.0,44.48,1.464,0.42,5.088,55379,1.0442421157727184,1.5358503956792482,2.0736015605245095,4.339292894280763,3.67003148469093,3.063290631808279,3.0754991334488735,2.9787175043327556,2.7336065857885616,2.508582322357019,2.187476603119584,2.1094194107452338,2.4234956672443673,3.777067590987868,4.241948006932408,4.301246100519931,5.6649202772963605,5.627079722703639,5.089629116117851,4.5511403812824955,3.7421247833622187,3.321797227036395,3.0679272097053727,2.2475701906412477,1.1671785095320624,0.8149116117850953,0.7693604852686309,0.813372616984402,2.667377816291161,3.4742043202033037,3.719032905602846,3.664205362816114,3.7302309157881366,3.4578104205900817,1.6226109227871939,1.6363098167210643,3.6087430541472316,1.6294607996987005,0.4515313989523569,11.0,5.6649202772963605,21.0,0.7693604852686309,7.363154705454349,4.233283073367995,2.7578621301425117,1.1992263797562173,2.1347052044569663,2.0083111030454615,7.593425605536332
PT0002000032990792KD,2.335468439239271,3.371108198390287,0.0,28.7,1.048,0.508,2.728,37911,1.4434398434809737,0.9505587670125476,2.3065016094137514,2.4666759493670884,2.262167088607595,2.492516868236792,3.2635594936708863,3.228478481012658,3.229245569620253,3.2308177215189873,3.227878481012658,3.1696708860759495,2.7718911392405063,1.7878253164556963,2.478713924050633,2.726526582278481,2.712040506329114,2.3230582278481013,1.8794354430379745,2.564972151898734,2.678832911392405,2.2563518987341773,2.27253417721519,1.9208759493670886,1.4403569620253165,1.1802379746835443,1.1130050632911392,1.1461974683544303,0.9571139240506329,2.890978614512886,3.036926508226691,2.9090169987205265,2.9830238095238095,2.900989023255814,0.8225820617789356,0.7715057685150726,2.944200419688547,0.7970439151470041,0.2707165958597749,1.0,3.2635594936708863,23.0,0.9571139240506329,3.4097920964926205,2.3291974683544305,3.1120827691787056,0.7084549908041499,1.6614434300076293,2.2528081418909807,4.971131313131313
PT0002000032993611ME,0.8494537180829933,1.0067945893304147,0.0,7.016,0.344,0.296,0.796,55378,1.1852259492165163,0.5886135870102214,0.3702281627050069,1.254661756210283,1.4022123050259965,0.3347741935483871,0.32281802426343154,0.3205493934142114,0.3221265164644714,0.3212668977469671,0.3211421143847487,0.32185961871750435,0.36407972270363953,0.6819376083188908,1.3774280762564992,1.7072183708838822,1.809523396880416,1.5877833622183708,1.0882980935875217,1.3508526863084922,1.5631282495667242,1.37005719237435,1.6105632582322356,1.4303743500866553,0.49307798960138655,0.44460831889081454,0.44734315424610055,0.4276533795493934,0.36530329289428076,0.9930658195679797,1.2638800660653031,1.1613224904701398,0.9998297980439477,0.5592908086388749,0.3402741996233522,0.6405368487131199,0.9944455485702697,0.490405524168236,0.49314467229834746,11.0,1.809523396880416,2.0,0.3205493934142114,5.645068853841705,1.4284471403812826,0.32377952330370285,3.4066649098126534,0.6431393704755831,0.5186176376235583,2.024553633217993
PT0002000033016394FN,1.1993425775466724,1.1874481572025601,0.0,8.28,0.612,0.492,1.58,55386,0.9900825497511787,0.9071636581314154,0.7791634525099314,1.23791709994223,2.0009442518775273,0.561238922675934,0.5633604852686309,0.5631941074523398,0.5586291161178509,0.5586897746967071,0.5580069324090122,0.541736568457539,0.5118076256499133,0.7643292894280762,1.4478700173310226,1.6121871750433274,1.5856256499133448,1.505682842287695,1.5116395147313693,1.7685060658578855,2.021213171577123,2.1566377816291165,2.320963604852686,2.2267053726169843,1.9911074523396879,1.464637781629116,0.7754072790294628,0.625890814558059,0.5874956672443674,1.422956543837357,1.3722729005208996,1.4900231228560539,1.259029826120066,1.3509010547463585,0.9911020715630885,0.518,1.3789449245976428,0.7545361873077647,0.5471837009936622,17.0,2.320963604852686,7.0,0.5118076256499133,4.534835919854527,1.8807738301559793,0.5605198897700792,2.6990631414417208,0.833983297414225,0.5897816450672202,2.57321107266436
